"phase title","phase see","pattern title","pattern see","rule title","rule context","generate context test","assert test","assert description","assert severity","notes"
"Preliminary Analysis","ASHRAE 211 5.2.3","Report","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report","true","auc:ASHRAEAuditLevel/text()='Preliminary Energy-Use Analysis'","","",""
"","","Measured Scenario","ASHRAE 211 5.2.3.1 and 5.2.3.2","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario[auc:ScenarioType/auc:CurrentBuilding/auc:CalculationMethod/auc:Measured]/auc:LinkedPremises/auc:Building/auc:LinkedBuildingID","true","//auc:Buildings/auc:Building[@ID = current()/@IDref]","Scenario of Measured type must be linked to the Building","",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario[auc:ScenarioType/auc:CurrentBuilding/auc:CalculationMethod/auc:Measured]","true","auc:AllResourceTotals/auc:AllResourceTotal/auc:SiteEnergyUseIntensity","","",""
"","","","","","","","auc:AllResourceTotals/auc:AllResourceTotal/auc:EnergyCostIndex","","",""
"","","Benchmark Scenario","ASHRAE 211 5.2.3.3","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario[auc:ScenarioType/auc:Benchmark]/auc:LinkedPremises/auc:Building/auc:LinkedBuildingID","true","//auc:Buildings/auc:Building[@ID = current()/@IDref]","Scenario of Benchmark type must be linked to the Building","",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario/auc:ScenarioType/auc:Benchmark","true","count(auc:BenchmarkType/*) > 0","","",""
"","","","","","","","auc:BenchmarkTool","","",""
"","","","","","","","auc:BenchmarkYear","","",""
"","","Building Information","ASHRAE 211 5.2.3","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building","true","auc:BuildingClassification","","",""
"","","","","","","","auc:OccupancyClassification","","",""
"","","","","","","","auc:YearOfConstruction","","",""
"","","","","","","","auc:ClimateZoneType/*/auc:ClimateZone or (auc:Address/auc:City and auc:Address/auc:State)","","",""
